ID	Time	Envelop	Features	actual_distance	actual_height	hazard	surface	movement	filename
1	26.443,26.491,26.539,26.587,26.635,26.683,26.731,26.779,26.827,26.875,26.923,26.971,27.019,27.067,27.115,27.163,27.211,27.259,27.307,27.355,27.403,27.451,27.499,27.547,27.595,27.643,27.691,27.739,27.787,27.835,27.883,27.931,27.979,28.027,28.075,28.123,28.171,28.219,28.267,28.315	54.0,54.0,54.0,54.0,54.0,55.0,60.0,73.0,88.0,101.0,110.0,114.0,114.0,112.0,106.0,97.0,87.0,77.0,69.0,63.0,60.0,59.0,59.0,58.0,57.0,56.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	114.0,26.664,0.336,0.96,0.5	4.0	10.0	0	0	1	20160317-110617-4m-curb10-move10.json
2	26.383,26.431,26.479,26.527,26.576,26.624,26.672,26.72,26.768,26.816,26.864,26.912,26.96,27.008,27.056,27.104,27.152,27.2,27.248,27.296,27.344,27.392,27.44,27.488,27.536,27.584,27.632,27.68,27.728,27.776,27.824,27.872,27.92,27.968,28.016,28.064,28.112,28.16,28.208,28.256	54.0,54.0,54.0,54.0,54.0,56.0,60.0,67.0,76.0,85.0,89.0,90.0,87.0,83.0,76.0,69.0,64.0,60.0,58.0,57.0,56.0,56.0,56.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	90.0,13.944,0.288,0.816,0.5	4.0	10.0	0	0	1	20160317-110617-4m-curb10-move10.json
3	26.189,26.237,26.285,26.333,26.383,26.431,26.479,26.527,26.575,26.623,26.671,26.719,26.767,26.815,26.863,26.911,26.959,27.007,27.055,27.103,27.151,27.199,27.247,27.295,27.343,27.391,27.439,27.487,27.535,27.583,27.634,27.682,27.73,27.778,27.826,27.874,27.922,27.97,28.018,28.066	54.0,54.0,54.0,54.0,54.0,55.0,60.0,74.0,91.0,105.0,115.0,119.0,121.0,119.0,114.0,107.0,97.0,87.0,77.0,69.0,64.0,62.0,60.0,59.0,58.0,58.0,57.0,56.0,56.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	121.0,32.643,0.336,1.104,0.4	4.0	10.0	0	0	1	20160317-110617-4m-curb10-move10.json
4	26.236,26.284,26.332,26.38,26.428,26.476,26.524,26.572,26.62,26.668,26.716,26.764,26.812,26.86,26.908,26.956,27.004,27.052,27.1,27.148,27.196,27.244,27.292,27.34,27.388,27.436,27.484,27.532,27.58,27.632,27.68,27.728,27.776,27.824,27.872,27.92,27.968,28.016,28.064,28.112	54.0,54.0,54.0,54.0,54.0,55.0,61.0,71.0,83.0,94.0,102.0,105.0,105.0,102.0,98.0,92.0,84.0,76.0,70.0,64.0,61.0,58.0,57.0,56.0,56.0,56.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	105.0,24.192,0.336,0.96,0.6	4.0	10.0	0	0	1	20160317-110617-4m-curb10-move10.json
5	26.004,26.052,26.1,26.148,26.196,26.244,26.292,26.34,26.388,26.436,26.484,26.532,26.58,26.628,26.676,26.724,26.772,26.82,26.868,26.916,26.964,27.012,27.06,27.108,27.156,27.204,27.252,27.3,27.348,27.396,27.444,27.492,27.54,27.588,27.636,27.684,27.732,27.78,27.828,27.876	54.0,54.0,54.0,54.0,54.0,55.0,59.0,68.0,81.0,94.0,103.0,107.0,107.0,104.0,99.0,91.0,82.0,74.0,67.0,62.0,59.0,57.0,56.0,56.0,56.0,56.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	107.0,23.88,0.336,0.96,0.6	4.0	10.0	0	0	1	20160317-110617-4m-curb10-move10.json
6	25.855,25.903,25.951,25.999,26.047,26.095,26.143,26.191,26.239,26.287,26.335,26.383,26.431,26.479,26.527,26.575,26.623,26.671,26.719,26.767,26.815,26.863,26.911,26.959,27.007,27.055,27.103,27.151,27.199,27.247,27.295,27.343,27.391,27.439,27.487,27.535,27.583,27.635,27.683,27.731	54.0,54.0,54.0,54.0,54.0,55.0,60.0,71.0,85.0,96.0,104.0,108.0,108.0,105.0,98.0,90.0,82.0,74.0,67.0,62.0,59.0,58.0,57.0,57.0,56.0,56.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,53.0,54.0,54.0	108.0,24.624,0.336,0.96,0.6	4.0	10.0	0	0	1	20160317-110617-4m-curb10-move10.json
7	25.71,25.758,25.806,25.854,25.902,25.95,25.998,26.046,26.094,26.143,26.191,26.239,26.287,26.335,26.383,26.431,26.479,26.527,26.575,26.623,26.671,26.719,26.768,26.816,26.864,26.912,26.96,27.008,27.056,27.104,27.152,27.2,27.248,27.296,27.344,27.392,27.44,27.488,27.536,27.584	54.0,54.0,54.0,54.0,54.0,57.0,69.0,88.0,105.0,117.0,124.0,128.0,127.0,125.0,120.0,111.0,100.0,87.0,77.0,68.0,63.0,60.0,59.0,58.0,57.0,56.0,56.0,56.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	128.0,36.9645,0.289,1.058,0.5	4.0	10.0	0	0	1	20160317-110617-4m-curb10-move10.json
8	25.708,25.756,25.804,25.852,25.9,25.948,25.996,26.044,26.092,26.14,26.188,26.236,26.284,26.332,26.38,26.428,26.476,26.524,26.572,26.62,26.668,26.716,26.764,26.812,26.86,26.908,26.956,27.004,27.052,27.1,27.148,27.196,27.244,27.292,27.34,27.388,27.436,27.484,27.532,27.58	54.0,54.0,54.0,54.0,54.0,55.0,61.0,73.0,87.0,99.0,107.0,111.0,111.0,108.0,102.0,93.0,84.0,75.0,67.0,63.0,60.0,59.0,57.0,56.0,56.0,56.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,53.0,54.0	111.0,26.928,0.336,0.96,0.6	4.0	10.0	0	0	1	20160317-110617-4m-curb10-move10.json
9	25.618,25.667,25.715,25.763,25.811,25.859,25.907,25.955,26.003,26.051,26.099,26.147,26.195,26.243,26.291,26.339,26.387,26.435,26.483,26.531,26.579,26.627,26.675,26.723,26.771,26.819,26.867,26.915,26.963,27.011,27.059,27.107,27.155,27.203,27.251,27.299,27.347,27.395,27.443,27.491	54.0,54.0,54.0,54.0,54.0,57.0,64.0,75.0,87.0,97.0,103.0,105.0,105.0,103.0,99.0,93.0,85.0,77.0,70.0,64.0,60.0,58.0,56.0,56.0,56.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	105.0,23.208,0.336,0.912,0.6	4.0	10.0	0	0	1	20160317-110617-4m-curb10-move10.json
10	25.674,25.722,25.77,25.818,25.866,25.914,25.962,26.01,26.058,26.106,26.154,26.202,26.25,26.298,26.346,26.394,26.442,26.49,26.538,26.586,26.634,26.682,26.73,26.778,26.826,26.874,26.922,26.97,27.018,27.066,27.114,27.162,27.21,27.258,27.307,27.355,27.403,27.451,27.499,27.547	54.0,54.0,54.0,54.0,54.0,58.0,65.0,75.0,82.0,87.0,88.0,86.0,82.0,77.0,71.0,67.0,63.0,60.0,58.0,57.0,56.0,56.0,55.0,55.0,55.0,54.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	88.0,13.368,0.24,0.768,0.5	4.0	10.0	0	0	1	20160317-110617-4m-curb10-move10.json
